hh,urban,year,month,index,ctotal,ctotal_dur,ctotal_gift,cfood,cnodur,totW,months1,weeks1,months2,weeks2,pay2,wage_total,bs_profit,other_inc,HHID,profit_ls,profit_agr,total_agrls,inctotal,w_share,agr_share,bus_share,sex,age,hhnum,father_educ,father_ocup,mother_educ,mother_ocup,writeread,classeduc,illdays,region,familysize
H38301-04-01,0,2014,1,2664,3345600.0,3345600.0,103200.0,2542800.0,802800.0,2522000.0,,,,,,,720000.0,0.0,383010401.0,520000.0,550520.0,1070520.0,2861040.0,,0.37417162989682073,0.25165674020635853,1.0,31.0,1.0,,19.0,99.0,19.0,0.0,15.0,,3.0,4
H38302-04-01,0,2014,1,2665,3196400.0,3196400.0,645400.0,2178800.0,1017600.0,571000.0,,,,,,,0.0,0.0,383020401.0,672000.0,538200.0,1210200.0,2420400.0,,0.5,0.0,1.0,33.0,1.0,,,10.0,19.0,0.0,13.0,,3.0,6
H38303-04-01,0,2014,1,2666,3035600.0,3035600.0,120000.0,1617200.0,1418400.0,545000.0,3.0,3.0,,,,81000.0,0.0,0.0,383030401.0,405600.0,64360.0,469960.0,1020920.0,0.07934020295419818,0.4603298985229009,0.0,1.0,39.0,1.0,,,,,0.0,14.0,3.0,3.0,5
H38304-04-01,0,2014,1,2667,4474400.0,4474400.0,932000.0,3551600.0,922800.0,630000.0,,,,,,,0.0,0.0,383040401.0,0.0,197981.9999885559,197981.9999885559,395963.9999771118,,0.5,0.0,1.0,35.0,1.0,,,10.0,19.0,0.0,15.0,3.0,3.0,7
H38305-04-01,0,2014,1,2668,2892000.0,2892000.0,139200.0,2168400.0,723600.0,1270000.0,10.0,2.0,,,,800000.0,20000.0,0.0,383050401.0,80000.0,261362.5,341362.5,1502725.0,0.5323662014007886,0.22716232178209586,0.013309155035019714,1.0,45.0,1.0,,,73.0,19.0,0.0,17.0,,3.0,5
H38308-04-01,0,2014,7,2669,2139200.0,2139200.0,477600.0,1601600.0,537600.0,515000.0,,,,,,,30000.0,0.0,383080401.0,364000.0,1940.0,365940.0,761880.0,,0.4803118601354544,0.0393762797290912,2.0,40.0,1.0,1.0,19.0,73.0,19.0,1.0,14.0,,3.0,5
H38309-04-01,0,2014,7,2670,6191200.0,6191209.0,144000.0,4630600.0,1560600.0,690000.0,,,,,,,0.0,0.0,383090401.0,587400.0,-149339.99999284744,438060.00000715256,876120.0000143051,,0.5,0.0,1.0,24.0,1.0,33.0,20.0,16.0,19.0,0.0,31.0,,3.0,4
H38310-04-01,0,2014,7,2671,2023800.0,2023808.0,324000.0,1209000.0,814800.0,470000.0,,,7.0,4.0,245000.0,,0.0,0.0,383100401.0,5000.0,676280.0,681280.0,1362560.0,,0.5,0.0,1.0,27.0,1.0,,,,,0.0,41.0,4.0,3.0,6
H38401-04-01,0,2014,2,2672,2867600.0,2867600.0,132000.0,2100800.0,766800.0,2436000.0,1.0,3.0,,,,60000.0,0.0,0.0,384010401.0,-5000.0,170229.5000001788,165229.5000001788,390459.0000003576,0.15366530160643,0.423167349196785,0.0,1.0,28.0,1.0,73.0,19.0,73.0,19.0,0.0,34.0,3.0,3.0,5
H38402-04-01,0,2014,2,2673,686000.0,686000.0,62000.0,447200.0,238800.0,130000.0,,,4.0,4.0,,,3000.0,0.0,384020401.0,0.0,0.0,0.0,3000.0,,0.0,1.0,1.0,67.0,1.0,,,,,0.0,22.0,7.0,3.0,1
